id,language,market,code,name,name_grohe,icon,icon_formula
55,de,DE,IX0,"Chrom, anthrazit",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IX0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IX0.png
56,de,DE,K00,Schwarz,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/K00.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/K00.png
57,de,DE,KF,Schwarz,Phantom Black,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KF0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KF0.png
58,de,DE,KF0,Schwarz,Phantom Black ,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KF0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KF0.png
59,de,DE,KG0,"Schwarz, gold",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KG0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KG0.png
60,de,DE,KS,Schwarz,Velvet Black,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KS0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KS0.png
61,de,DE,KS0,Schwarz,Velvet Black ,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KS0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KS0.png
62,de,DE,KV,Schwarz,Glossy Black ,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KV0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KV0.png
63,de,DE,KV0,Schwarz,Glossy Black ,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KV0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KV0.png
64,de,DE,L00,Weiß,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/L00.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/L00.png
65,de,DE,LD0,"Weiß, rot",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/LD0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/LD0.png
66,de,DE,LG0,"Weiß, gold",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/LG0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/LG0.png
67,de,DE,LI0,"Weiß, chrom",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/LI0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/LI0.png
68,de,DE,LK0,"Weiß, schwarz",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/LK0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/LK0.png
69,de,DE,LP0,Weiß,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/LP0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/LP0.png
70,de,DE,LS,Weiß,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/LS0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/LS0.png
71,de,DE,LS0,Weiß,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/LS0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/LS0.png
72,de,DE,MB0,"Silber, blau",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/MB0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/MB0.png
73,de,DE,MF0,Weiß,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/MF0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/MF0.png
74,de,DE,MG,Anthrazit,Satin Graphite,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/MG0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/MG0.png
75,de,DE,MG0,Anthrazit,Satin Graphite ,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/MG0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/MG0.png
76,de,DE,MS,Edelstahl,Satin Steel ,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/MS0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/MS0.png
77,de,DE,MS0,Edelstahl,Satin Steel ,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/MS0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/MS0.png
78,de,DE,MW0,Grau,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/MW0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/MW0.png
79,de,DE,NA0,"Chrom, blau",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/NA0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/NA0.png
80,de,DE,NB0,"Chrom, blau",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/NB0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/NB0.png
81,de,DE,P00,Chrom,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/P00.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/P00.png
82,de,DE,PI0,Chrom,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/PI0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/PI0.png
83,de,DE,PV0,Beige,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/PV0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/PV0.png
84,de,DE,R00,Bronze,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/R00.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/R00.png
85,de,DE,RR0,Chrom,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/RR0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/RR0.png
86,de,DE,SD,Edelstahl,Brushed Stainless Steel ,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/SD0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/SD0.png
87,de,DE,SD0,Edelstahl,Brushed Stainless Steel ,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/SD0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/SD0.png
88,de,DE,SH,Weiß,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/SH0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/SH0.png
89,de,DE,SH0,Weiß,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/SH0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/SH0.png
90,de,DE,SP0,Beige,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/SP0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/SP0.png
91,de,DE,T00,Chrom,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/T00.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/T00.png
92,de,DE,TN0,Weiß,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/TN0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/TN0.png
93,de,DE,TT0,Weiß,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/TT0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/TT0.png
94,de,DE,TY0,Blau,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/TY0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/TY0.png
95,de,DE,UL0,Anthrazit,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/UL0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/UL0.png
96,de,DE,UU0,Beige,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/UU0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/UU0.png
97,de,DE,X00,Grau,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/X00.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/X00.png
98,de,DE,XG0,"Chrom, grau",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/XG0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/XG0.png
99,de,DE,XH0,Grau,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/XH0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/XH0.png
100,de,DE,XM0,Rot,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/XM0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/XM0.png
101,de,DE,XN0,Schwarz,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/XN0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/XN0.png
102,de,DE,XX0,Anthrazit,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/XX0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/XX0.png
103,de,DE,YF0,Gelb,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/YF0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/YF0.png
104,de,DE,YR0,Bronze,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/YR0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/YR0.png
105,de,DE,Z00,Bronze,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/Z00.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/Z00.png
106,de,DE,XE0,Anthrazit,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/MG0.png,
107,de,DE,KK0,Schwarz,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KS0.png,
108,de,DE,AT0,Anthrazit,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/MG0.png,
109,de,DE,AP0,Schwarz,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KS0.png,
110,de,DE,AA0,Silber,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/BK0.png,
111,de,DE,LS1,"Weiß, chrom",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IL0.png,
112,de,DE,996,Durchscheinend ,,,
113,de,DE,SA0,Grau,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/X00.png,
114,de,DE,NC0,"Chrom, anthrazit",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IX0.png,
115,de,DE,995,Transparent ,,,
116,de,DE,996,,,,
117,de,DE,997,Transparent ,,,
118,de,DE,V00,Grau,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/X00.png,
119,de,DE,998,Durchscheinend ,,,
120,de,DE,995,,,,
121,de,DE,414,Holz,,,
122,de,DE,IA0,"Chrom, silber",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/BR0.png,
123,de,DE,KH0,Schwarz,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KS0.png,
124,de,DE,KK0,Schwarz,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KS0.png,
125,de,DE,NC0,"Chrom, anthrazit",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IX0.png,
126,de,DE,SA0,Grau,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/X00.png,
127,de,DE,ND0,"Edelstahl, anthrazit",,,
128,de,DE,Grey,Weiß,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/LS0.png,
129,de,DE,GE0,Grün,,,
130,de,DE,KI0,"Chrom, schwarz",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IB0.png,
131,de,DE,BI0,Grau,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/X00.png,
132,de,DE,IE0,"Chrom, grau",,,
133,de,DE,KW0,Schwarz,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/KS0.png,
134,de,DE,HG0,Braun,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/H00.png,
135,de,DE,224,Antikbronze,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/Z00.png,
136,de,DE,LV0,Weiß,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/LS0.png,
137,de,DE,XI0,Grau,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/X00.png,
138,de,DE,TB0,Grau,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/X00.png,
139,de,DE,LN0,Weiß,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/L00.png,
140,de,DE,LC0,Grau,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/Transparent.png,
