COD_MATERIAL,COD_CHAR,VALUE_COMBINED
23444001,L3090,01
34863DA0,L3090,01
32612003,L3090,01
32935GL1,L3090,01
34874000,L3090,01
31367000,L3090,01
26357000,L3090,01
26866DA0,L3090,01
32669000,L3090,01
33160000,L3090,01
28944000,L3090,01
22053000,L3090,01
20169DA3,L3090,01
32322A02,L3090,01
30083A01,L3090,01
31493000,L3090,01
32114000,L3090,01
28814000,L3090,01
33569000,L3090,01
33322IG0,L3090,01
25635000,L3090,01
25632000,L3090,01
26679001,L1105,01
27967000,L1105,01
24172DA1,L3090,01
24174DA1,L3090,01
19386DA2,L3090,01
34791001,L3090,01
23296001,L3090,01
24064001,L3090,01
25226000,L3090,01
31891000,L3090,01
26785000,L3090,01
26769001,L3090,01
27521000,L3090,01
27475001,L3090,01
27579003,L3090,01
27702000,L3090,01
27693000,L3090,01
27355000,L3090,01
27609001,L3090,01
28421001,L3090,01
27580002,L3090,01
23709LS3,L3090,01
33987000,L3090,01
26720000,L3090,01
23455000,L3090,01
19380A02,L3090,01
27471000,L3090,01
27755000,L3090,01
32546002,L3090,01
27226DA1,L3090,01
1348632430,L1047,01
134863DL00,L1047,01
134863GN00,L1047,01
134866DC00,L1047,01
32402000,L3090,01
33740IL0,L1016,01
33740IH0,L1016,01
34011BE0,L3090,01
33584IG0,L3090,01
21651000,L3090,01
33200000,L3090,01
33585IG0,L3090,01
33975000,L3090,01
107056DL00,L1105,01
348802430,L1105,01
1068660000,L3090,01
29307004,L3090,01
32618004,L3090,01
33163004,L3090,01
24093004,L3090,01
33834000,L3090,01
40043000,L3090,01
25007IG0,L3090,01
19681000,L3090,01
22980000,L3090,01
38185000,L1158,01
40190000,L3090,01
28196000,L3090,01
27641000,L1105,01
26171LS0,L1105,01
27615KF2,L1105,01
26647LS0,L1105,01
26418000,L1105,01
26401000,L1105,01
24170001,L3090,01
23922002,L3090,01
23799001,L3090,01
23720003,L3090,01
23664000,L3090,01
25251A01,L3090,01
19408A01,L3090,01
23900001,L3090,01
24353GL0,L3090,01
24058DA1,L3090,01
23968003,L3090,01
23986003,L3090,01
24057001,L3090,01
24372IG0,L3090,01
26672001,L3090,01
26657000,L3090,01
26333000,L3090,01
26928001,L3090,01
26909003,L3090,01
23147001,L3090,01
26843000,L3090,01
26771003,L3090,01
27711000,L3090,01
27598003,L3090,01
27799001,L3090,01
26406001,L3090,01
28440000,L3090,01
24057BE1,L3090,01
23901001,L3090,01
23109000,L3090,01
27641000,L3090,01
27296000,L3090,01
19342000,L3090,01
26174000,L3090,01
23768000,L3090,01
23589BE1,L3090,01
24066DA3,L3090,01
26100000,L3090,01
19536IG0,L3090,01
36169000,L3090,01
100962DA00,L3090,01
100962AL00,L1047,01
100964KF00,L1047,01
100961KI00,L3090,01
19670000,L3090,01
19138000,L3090,01
21652IG0,L3090,01
19664000,L3090,01
40286000,L3090,01
19666IG0,L3090,01
118389,L3090,01
28682000,L3090,01
25025000,L3090,01
33234000,L3090,01
101676GL00,L1047,01
26469000,L3090,01
21134DA0,L3090,01
23106001,L3090,01
25047000,L3090,01
26226000,L1105,01
19934000,L3090,01
25287GN0,L1105,01
23342000,L3090,01
20208002,L3090,01
24077000,L1143,01
25044DA3,L3090,01
26696000,L3090,01
20662GL0,L3090,01
26676000,L3090,01
21044DA3,L3090,01
23710003,L3090,01
22121KF0,L1105,01
26075BE0,L3090,01
29118000,L1143,01
38505000,L3090,01
40304003,L3090,01
40457001,L3090,01
41169000,L3090,01
34731000,L3090,01
34820005,L3090,01
40898000,L3090,01
36457000,L3090,01
30270000,L3090,01
38964KV0,L3090,01
31315000,L3090,01
40374BE1,L3090,01
36327000,L3090,01
34597000,L3090,01
31299000,L3090,01
32222001,L3090,01
36088000,L3090,01
34321002,L3090,01
32757000,L3090,01
34614001,L3090,01
34673000,L3090,01
32559000,L3090,01
33574000,L3090,01
32695000,L3090,01
33529IG0,L3090,01
28084000,L3090,01
32541001,L3090,01
65807A00,L3090,01
19039000,L3090,01
28291BE0,L3090,01
38760001,L1143,01
34883000,L1143,01
49246DL0,L1143,01
29396000,L3090,01
34883000,L3090,01
30568000,L3090,01
40496000,L3090,01
31213001,L3090,01
34842000,L3090,01
41180000,L3090,01
48366DC0,L1143,01
40304BE0,L3090,01
40890GL0,L3090,01
38845KS0,L1143,01
37855000,L1158,01
40339000,L3090,01
34151000,L3090,01
29156LS0,L3090,01
38699000,L3090,01
40312BE0,L3090,01
41039A00,L3090,01
40367000,L3090,01
40339A01,L3090,01
32279000,L3090,01
32469002,L3090,01
38573X00,L1132,01
30458000,L3090,01
38845LS0,L3090,01
40339DA1,L3090,01
38765SH0,L1143,01
33975004,L3090,01
101680DC00,L1105,01
19362000,L3090,01
30478000,L3090,01
13317DA1,L3090,01
24013000,L3090,01
19031IG0,L3090,01
1017710000,L3090,01
100739MS00,L1105,01
19590DA1,L3090,01
22043000,L3090,01
1012410000,L3090,01
23132000,L3090,01
23310000,L3090,01
19574002,L3090,01
19315000,L3090,01
21024BE0,L3090,01
37143000,L1158,01
48428LS0,L1143,01
39347000,L1135,01
40797001,L3090,01
40633000,L3090,01
40386001,L3090,01
40824000,L3090,01
29119000,L3090,01
40371GL1,L3090,01
38765000,L3090,01
37018000,L3090,01
40312000,L3090,01
37149000,L3090,01
28769000,L3090,01
40308GL3,L3090,01
40314DA3,L3090,01
40308DA3,L3090,01
40225000,L3090,01
104989GN00,L1105,01
104742GL00,L3090,01
104779DA00,L3090,01
104775GL00,L3090,01
1047490000,L3090,01
104743DA00,L3090,01
105006DA00,L3090,01
24610IG0,L3090,01
21036000,L3090,01
19621000,L3090,01
23268000,L3090,01
23266000,L3090,01
27236000,L3090,01
27226000,L3090,01
19417000,L3090,01
26365000,L1105,01
26477GL0,L1105,01
34863DL0,L1143,01
34872000,L1105,01
29337003,L3090,01
34681000,L3090,01
34868000,L3090,01
30550000,L3090,01
31554001,L3090,01
31930001,L3090,01
26558DA0,L3090,01
26564DA0,L3090,01
26564A00,L3090,01
32629000,L3090,01
33561001,L3090,01
23443000,L3090,01
24096003,L3090,01
31498000,L3090,01
32754000,L3090,01
26170000,L3090,01
29332000,L3090,01
28945000,L3090,01
36244000,L3090,01
31066000,L3090,01
30083DA1,L3090,01
31173000,L3090,01
33349000,L3090,01
33235000,L3090,01
33444000,L3090,01
26075000,L1105,01
27964000,L1105,01
27175000,L1105,01
24168GL1,L3090,01
34824005,L3090,01
23590DA1,L3090,01
24044000,L3090,01
24167A01,L3090,01
33624A01,L3090,01
34594000,L3090,01
34488000,L3090,01
29127A00,L3090,01
31888000,L3090,01
26802A00,L3090,01
28368000,L3090,01
28620000,L3090,01
27473002,L3090,01
27724001,L3090,01
27595001,L3090,01
27591001,L3090,01
27265000,L3090,01
27400DL0,L1047,01
31212001,L3090,01
27786000,L3090,01
26085001,L3090,01
27175000,L3090,01
29176A01,L3090,01
27323000,L3090,01
27264001,L3090,01
34151003,L3090,01
27304000,L3090,01
26004000,L3090,01
33190001,L3090,01
31203000,L3090,01
27418000,L3090,01
27136000,L3090,01
28401BE0,L3090,01
1348652430,L1047,01
28239IG0,L3090,01
40190IG0,L3090,01
29664IG0,L3090,01
40301000,L3090,01
40290000,L3090,01
75142226,L3090,01
29655IG0,L3090,01
40203IG0,L3090,01
28972IG0,L3090,01
27031000,L3090,01
27030000,L3090,01
29604000,L3090,01
21007000,L3090,01
33878000,L3090,01
33476000,L3090,01
33055000,L3090,01
33701000,L3090,01
33129000,L3090,01
19950BE0,L3090,01
23851004,L3090,01
107056DA00,L3090,01
107059DA00,L3090,01
31660000,L3090,01
33679000,L3090,01
33065000,L3090,01
26294000,L3090,01
26837GL0,L1105,01
27296001,L1105,01
23061001,L1105,01
26560MG0,L1105,01
26811001,L1105,01
26507A00,L1105,01
28404000,L1105,01
27296003,L1105,01
21142GL0,L3090,01
25252DA1,L3090,01
20619000,L3090,01
23882001,L3090,01
23877001,L3090,01
23771000,L3090,01
24059003,L3090,01
24260IG0,L3090,01
24179001,L3090,01
24371IG0,L3090,01
25272000,L3090,01
26508A00,L3090,01
26594000,L3090,01
26883000,L3090,01
26031000,L3090,01
26948001,L3090,01
26951001,L3090,01
27958001,L3090,01
27576003,L3090,01
27317000,L3090,01
26406000,L3090,01
2757100E,L3090,01
27788002,L3090,01
26507BE0,L3090,01
19507000,L3090,01
24027003,L3090,01
19549LS2,L3090,01
27986000,L3090,01
27969IG0,L3090,01
27479000,L3090,01
22028000,L3090,01
20214002,L3090,01
27642000,L3090,01
27346000,L3090,01
26099000,L3090,01
27065000,L3090,01
21022000,L3090,01
19536001,L3090,01
20346A00,L3090,01
27408001,L3090,01
26752000,L3090,01
36162000,L3090,01
36165000,L3090,01
36192000,L3090,01
1018130000,L3090,01
120061,L3090,01
100964GL00,L1047,01
100964AL00,L1105,01
1018710000,L3090,01
19840000,L3090,01
125054,L3090,01
19141000,L3090,01
40172000,L3090,01
19533000,L3090,01
29472000,L3090,01
37388000,L1158,01
22909000,L3090,01
37389000,L3090,01
25018000,L3090,01
28600000,L3090,01
31344000,L3090,01
31384000,L3090,01
32894000,L3090,01
41118000,L3090,01
19148000,L3090,01
19613000,L3090,01
26353000,L3090,01
26560DA0,L3090,01
21026BE0,L3090,01
2337420E,L3090,01
2337510E,L3090,01
24426000,L3090,01
21377000,L3090,01
23356000,L3090,01
26075A00,L3090,01
2313500E,L3090,01
22018000,L3090,01
23338000,L3090,01
28002000,L3090,01
19855001,L3090,01
26075DA0,L1105,01
26678001,L1105,01
26250000,L3090,01
29118A00,L1143,01
38565SH0,L1132,01
40689A01,L3090,01
40508001,L3090,01
34733002,L3090,01
40341GL1,L3090,01
33849001,L3090,01
32628DA1,L3090,01
41123000,L3090,01
33244002,L3090,01
32887000,L3090,01
40908IG0,L3090,01
36327002,L3090,01
36208001,L3090,01
40564A00,L3090,01
31187001,L3090,01
31374001,L3090,01
31481001,L3090,01
37624DA0,L3090,01
28679000,L3090,01
31317000,L3090,01
30219001,L3090,01
28819000,L3090,01
28912BE0,L3090,01
30270BE0,L3090,01
32149000,L3090,01
40314000,L3090,01
38693000,L3090,01
35004000,L3090,01
19546MF0,L3090,01
20458000,L3090,01
19035000,L3090,01
28293001,L3090,01
29904LS0,L1143,01
40689BE1,L3090,01
32881000,L3090,01
41040000,L3090,01
29121000,L3090,01
36333000,L3090,01
36452000,L3090,01
30596000,L3090,01
31699000,L3090,01
32206001,L3090,01
34566001,L3090,01
34065000,L3090,01
36100000,L3090,01
34179000,L3090,01
40496A00,L3090,01
32450000,L3090,01
40366000,L3090,01
38861000,L1143,01
48366000,L1143,01
38732DA0,L3090,01
29406GL0,L3090,01
37018SN0,L1132,01
40890DA0,L3090,01
41068A00,L3090,01
31127002,L3090,01
32279002,L3090,01
40509001,L3090,01
37859000,L1143,01
40776001,L3090,01
38847KI0,L1143,01
40923000,L3090,01
36239000,L3090,01
38564P00,L1132,01
29408DA0,L3090,01
41058A00,L3090,01
30504000,L3090,01
36366001,L3090,01
31358DC0,L1016,01
41049BE0,L3090,01
38915LS0,L3090,01
31426000,L3090,01
13487000,L3090,01
33565001,L3090,01
13317000,L3090,01
19358000,L3090,01
101680GL00,L1105,01
19060000,L3090,01
24012000,L3090,01
1009610000,L1047,01
19998000,L3090,01
13071000,L3090,01
23925000,L3090,01
19025000,L3090,01
23318IG0,L3090,01
23349000,L3090,01
2313100E,L3090,01
19448000,L3090,01
37145IK0,L1157,01
37151000,L1157,01
29119AL0,L1143,01
40342001,L3090,01
40369001,L3090,01
41195000,L3090,01
41027000,L3090,01
40284DA1,L3090,01
40961000,L3090,01
40378000,L3090,01
1047480000,L3090,01
104988DA00,L3090,01
19527000,L3090,01
24471000,L3090,01
28063000,L3090,01
28182000,L3090,01
20155000,L3090,01
19801000,L3090,01
33284001,L3090,01
28912GL0,L3090,01
32826A01,L3090,01
19416000,L3090,01
32650DA3,L3090,01
32650GL3,L3090,01
28497BE0,L3090,01
22957000,L3090,01
26457000,L1105,01
29120DC0,L1143,01
34863000,L1143,01
29099003,L3090,01
34720000,L3090,01
19808001,L3090,01
29415IG0,L3090,01
29402000,L3090,01
30442000,L3090,01
31191001,L3090,01
31615A00,L3090,01
26550000,L3090,01
26582000,L3090,01
28990GL0,L3090,01
31346000,L3090,01
3261200E,L3090,01
31936000,L3090,01
36120000,L3090,01
32289000,L3090,01
19808000,L3090,01
33225000,L3090,01
28369000,L1105,01
28948000,L1105,01
27610001,L1105,01
26067A00,L1105,01
29193A01,L3090,01
20670000,L3090,01
23140000,L3090,01
25222DA1,L3090,01
25229DA0,L3090,01
29127000,L3090,01
29126DA0,L3090,01
33241003,L3090,01
36317000,L3090,01
31886000,L3090,01
26392000,L3090,01
26932001,L3090,01
26986001,L3090,01
27946001,L3090,01
27514001,L3090,01
27595000,L3090,01
27400DA0,L1047,01
27574002,L3090,01
3355200E,L3090,01
27644001,L3090,01
27796001,L3090,01
27796000,L3090,01
33984002,L3090,01
26814001,L3090,01
32784000,L3090,01
27379000,L3090,01
27376000,L3090,01
34582000,L3090,01
34362000,L3090,01
19297000,L3090,01
19289000,L3090,01
26057000,L3090,01
32441000,L3090,01
26388000,L3090,01
26400000,L3090,01
21150000,L3090,01
33595000,L3090,01
27262001,L3090,01
27262000,L3090,01
134865GN00,L1047,01
1348630000,L3090,01
134864GN00,L1047,01
40054000,L3090,01
41052000,L3090,01
29490000,L3090,01
29671IG0,L3090,01
40162IM0,L3090,01
40328000,L3090,01
40323000,L3090,01
32457BE0,L3090,01
34318000,L3090,01
32458000,L3090,01
34929000,L3090,01
32427000,L3090,01
126747,L3090,01
33532000,L3090,01
33540IG0,L3090,01
33586000,L3090,01
20653IG0,L3090,01
27166IG0,L3090,01
25480000,L3090,01
33710IL0,L1016,01
33710H00,L1016,01
107056KF00,L1105,01
106868GL00,L3090,01
106866DA00,L3090,01
33093000,L3090,01
33861000,L3090,01
22902IG0,L3090,01
24003000,L3090,01
26052000,L1105,01
26561000,L1105,01
22029000,L3090,01
22037DA0,L3090,01
25224DA0,L3090,01
20421000,L3090,01
23541001,L3090,01
24356000,L3090,01
24060003,L3090,01
27296003,L3090,01
26647000,L3090,01
26508000,L3090,01
26370A00,L3090,01
26599000,L3090,01
26092001,L3090,01
27074DA0,L3090,01
26956001,L3090,01
28404000,L3090,01
27799003,L3090,01
27267001,L3090,01
27530000,L3090,01
27573001,L3090,01
27571000,L3090,01
27357001,L3090,01
23315000,L3090,01
19355001,L3090,01
24071000,L3090,01
27688000,L3090,01
26614000,L3090,01
21093000,L3090,01
24200001,L3090,01
24027DA3,L3090,01
28393000,L3090,01
26396000,L3090,01
27532000,L3090,01
28346000,L3090,01
100962DC00,L1047,01
13404003,L3090,01
19898000,L3090,01
1018920000,L3090,01
23965003,L3090,01
1017780000,L3090,01
1018350000,L3090,01
100961KF00,L1047,01
19066000,L3090,01
29658IG0,L3090,01
19515000,L3090,01
19654IG0,L3090,01
36298000,L3090,01
36179000,L3090,01
25008000,L3090,01
36346000,L3090,01
25014000,L3090,01
33201000,L3090,01
13210000,L3090,01
28652000,L3090,01
26836GL0,L1105,01
26164000,L3090,01
24042002,L3090,01
19981000,L3090,01
20301003,L3090,01
23355001,L3090,01
26677000,L1105,01
23604001,L3090,01
26733000,L3090,01
26164003,L3090,01
25288000,L1105,01
19069BE0,L3090,01
20193DA2,L3090,01
19948IG0,L3090,01
24375000,L3090,01
26566DA0,L3090,01
27923000,L3090,01
23551001,L3090,01
22039BE0,L3090,01
19399000,L3090,01
26475DL0,L1105,01
23435000,L3090,01
21139000,L3090,01
26181000,L3090,01
25287GL0,L3090,01
25046000,L3090,01
34733002,L1105,01
37601DL0,L1143,01
37601EN0,L1143,01
41068GL0,L3090,01
40928IG0,L3090,01
34816003,L3090,01
32590002,L3090,01
40688GL1,L3090,01
30505DA0,L3090,01
30505000,L3090,01
30194000,L3090,01
30269DA0,L3090,01
28982000,L3090,01
31482003,L3090,01
32590001,L3090,01
34779000,L3090,01
30085000,L3090,01
40661000,L3090,01
34630000,L3090,01
32249000,L3090,01
31299001,L3090,01
32917DA0,L3090,01
32294000,L3090,01
40313BE0,L3090,01
32285000,L3090,01
19036000,L3090,01
19901000,L3090,01
33044000,L3090,01
33576000,L3090,01
31484000,L1016,01
29121DA0,L1143,01
49244GN0,L1143,01
30591000,L3090,01
28724000,L3090,01
32764000,L3090,01
32791000,L3090,01
31403000,L3090,01
34169000,L3090,01
34063BE0,L3090,01
28212001,L3090,01
38808SH0,L1143,01
40494A00,L3090,01
37018SP0,L1132,01
37547P00,L1143,01
40284001,L3090,01
41094000,L3090,01
41146000,L3090,01
40238IG0,L3090,01
29650IG0,L3090,01
40267000,L3090,01
40340000,L3090,01
38901000,L1143,01
41069GL0,L3090,01
40888GL0,L3090,01
41029000,L3090,01
41202000,L3090,01
41107000,L3090,01
40965A01,L3090,01
38564X00,L1132,01
40448000,L3090,01
3933700H,L1000,01
40800BE1,L3090,01
40493000,L3090,01
30184000,L3090,01
38846KS0,L1143,01
31126004,L3090,01
1017670000,L3090,01
27430000,L3090,01
101008GL00,L3090,01
13315000,L3090,01
101673GL00,L3090,01
103538SH00,L1000,01
101680AL00,L1105,01
19571003,L3090,01
23225000,L3090,01
21138GL0,L3090,01
23923003,L3090,01
21107IG0,L3090,01
20009003,L3090,01
19932IG0,L3090,01
19906000,L3090,01
37152IK0,L1158,01
38585000,L1132,01
38847XG0,L1143,01
48429DC0,L1143,01
48616DA0,L1143,01
40629000,L3090,01
40421001,L3090,01
40507001,L3090,01
41197000,L3090,01
41027BE0,L3090,01
41035GL0,L3090,01
40979000,L3090,01
40897000,L3090,01
30079001,L3090,01
32780000,L3090,01
40633IG0,L3090,01
30420000,L3090,01
40342000,L3090,01
41210000,L3090,01
41196000,L3090,01
1049880000,L3090,01
104989DL00,L1105,01
1047430000,L3090,01
104990GL00,L3090,01
23211000,L3090,01
19853000,L3090,01
20037000,L3090,01
20038000,L3090,01
25667000,L3090,01
41148000,L3090,01
28419001,L3090,01
33772002,L3090,01
27234000,L3090,01
26558DL0,L1105,01
1017550000,L3090,01
36269000,L3090,01
36273000,L3090,01
36267000,L3090,01
31360001,L3090,01
27075DA0,L3090,01
32670000,L3090,01
19781000,L3090,01
33156002,L3090,01
22049000,L3090,01
31455A01,L3090,01
33636BE1,L3090,01
33418IG0,L3090,01
33322000,L3090,01
33362000,L3090,01
33418000,L3090,01
28864IG0,L3090,01
27421002,L1105,01
34582001,L1105,01
27298001,L1105,01
27870001,L1105,01
25227DA0,L3090,01
34796001,L3090,01
23911001,L3090,01
21149GL0,L3090,01
23974003,L3090,01
24168A01,L3090,01
24168001,L3090,01
31491000,L3090,01
27400DA0,L3090,01
23061003,L3090,01
26067GL0,L3090,01
26087000,L3090,01
27960000,L3090,01
27475002,L3090,01
27326000,L3090,01
27736000,L3090,01
27575001,L3090,01
27182001,L3090,01
33281000,L3090,01
33558000,L3090,01
19952A00,L3090,01
23909001,L3090,01
23552001,L3090,01
26112000,L3090,01
27251DA0,L3090,01
32783000,L3090,01
27420000,L3090,01
27383000,L3090,01
27701000,L3090,01
27260000,L3090,01
30186001,L3090,01
33241002,L3090,01
26004BE0,L3090,01
19296000,L3090,01
19783A00,L3090,01
27277001,L3090,01
27960001,L3090,01
26071000,L3090,01
34361000,L3090,01
28398000,L3090,01
33203000,L3090,01
33386000,L3090,01
19290000,L3090,01
33395001,L3090,01
28415IG0,L3090,01
19240000,L3090,01
28176IG0,L3090,01
134863DC00,L1047,01
29657IG0,L3090,01
40441000,L3090,01
40439000,L3090,01
34321000,L3090,01
40045IG0,L3090,01
32458BE0,L3090,01
33060000,L3090,01
33607000,L3090,01
19502000,L3090,01
33050000,L3090,01
33933IG0,L3090,01
33585000,L3090,01
33740IL0,L3090,01
34692000,L3090,01
33710IH0,L1016,01
27718000,L3090,01
33130000,L3090,01
34012BE0,L3090,01
264032432,L1105,01
23870004,L3090,01
27242000,L3090,01
19163IG0,L3090,01
34936000,L3090,01
33099000,L3090,01
33157000,L3090,01
19030IG0,L3090,01
30156000,L3090,01
28391000,L3090,01
30006000,L3090,01
29316000,L3090,01
26507LS0,L1105,01
27684000,L1105,01
23741001,L1105,01
26088001,L1105,01
26562000,L1105,01
26401001,L1105,01
26412000,L1105,01
26477A00,L1105,01
25251GL1,L3090,01
23898001,L3090,01
23922003,L3090,01
19967DA1,L3090,01
20186001,L3090,01
24359DA0,L3090,01
24056002,L3090,01
24183001,L3090,01
24429000,L3090,01
24430000,L3090,01
26397001,L3090,01
26593000,L3090,01
26907003,L3090,01
26885000,L3090,01
26481A00,L3090,01
26953001,L3090,01
26404000,L3090,01
27943001,L3090,01
28373000,L3090,01
27573002,L3090,01
27286000,L3090,01
2826100E,L3090,01
2337010E,L3090,01
19506000,L3090,01
23425LS0,L3090,01
19384000,L3090,01
25044003,L3090,01
24160A01,L3090,01
26146LS0,L3090,01
23116000,L3090,01
19373000,L3090,01
24074000,L3090,01
27687000,L3090,01
27269000,L3090,01
19500IG0,L3090,01
19536000,L3090,01
23775000,L3090,01
25010GL3,L3090,01
24065GL3,L3090,01
26543000,L3090,01
25460000,L3090,01
13276002,L3090,01
23302000,L3090,01
1009640000,L1047,01
19000000,L3090,01
100964KF00,L1105,01
100962GL00,L3090,01
1136960000,L3090,01
28434000,L3090,01
33201IG0,L3090,01
28469000,L3090,01
29478000,L3090,01
28517000,L3090,01
19665IG0,L3090,01
19606IG0,L3090,01
37389000,L1157,01
22909IG0,L3090,01
37633IG0,L3090,01
22905IG0,L3090,01
31347002,L3090,01
25023IG0,L3090,01
26382000,L1105,01
26553000,L3090,01
23931001,L3090,01
26509000,L1105,01
25229000,L3090,01
23374LS3,L3090,01
23341000,L3090,01
2338320E,L3090,01
21012000,L3090,01
23707003,L3090,01
27924000,L3090,01
19548000,L3090,01
26972001,L3090,01
20008DA3,L3090,01
26183001,L3090,01
24099000,L3090,01
26382001,L1105,01
23329000,L3090,01
26343000,L3090,01
19069003,L3090,01
24370000,L3090,01
24065DA3,L3090,01
23340000,L3090,01
20021GL3,L3090,01
31486000,L1016,01
28545000,L1105,01
41184000,L3090,01
41185000,L3090,01
32558000,L3090,01
41066GL0,L3090,01
41027GL0,L3090,01
40929IG0,L3090,01
34813001,L3090,01
33547003,L3090,01
3317820E,L3090,01
29118000,L3090,01
36454000,L3090,01
30609000,L3090,01
30464000,L3090,01
31889000,L3090,01
31714000,L3090,01
31486001,L3090,01
37965000,L3090,01
40504000,L3090,01
31209001,L3090,01
32294001,L3090,01
32198000,L3090,01
36234000,L3090,01
33547001,L3090,01
34450000,L3090,01
32148000,L3090,01
32628000,L3090,01
36110000,L3090,01
34230000,L3090,01
33577000,L3090,01
33930IG0,L3090,01
33134000,L3090,01
28062000,L3090,01
32424000,L3090,01
49035DC0,L1143,01
49246DC0,L1143,01
490752430,L1143,01
65807DA0,L3090,01
266732431,L1105,01
29122GL0,L3090,01
40802DA1,L3090,01
31170000,L3090,01
31685000,L3090,01
31483002,L3090,01
34065002,L3090,01
33415000,L3090,01
40305BE0,L3090,01
41089000,L3090,01
40688001,L3090,01
40284000,L3090,01
37751001,L3090,01
41082000,L3090,01
40167000,L3090,01
40201000,L3090,01
38669MF0,L3090,01
30274000,L3090,01
37535BE0,L3090,01
31358000,L1016,01
31153002,L3090,01
37059000,L3090,01
38799000,L3090,01
40371000,L3090,01
29153LS0,L3090,01
40512000,L3090,01
32281000,L3090,01
40955DA1,L3090,01
34237001,L3090,01
41203000,L3090,01
29303003,L3090,01
28537000,L3090,01
40329000,L3090,01
38966KV0,L3090,01
1017490000,L3090,01
13255001,L3090,01
1017580000,L3090,01
27191000,L3090,01
25032000,L3090,01
1017310000,L3090,01
19970002,L3090,01
20595GL0,L3090,01
23403DA1,L3090,01
1018240000,L3090,01
19967001,L3090,01
23324003,L3090,01
23352001,L3090,01
13319000,L3090,01
13264A01,L3090,01
19352000,L3090,01
37763000,L1158,01
37018ST0,L1132,01
38506000,L3090,01
40386A01,L3090,01
40967001,L3090,01
37063000,L3090,01
37419000,L3090,01
40625IG0,L3090,01
37864000,L3090,01
40309GL3,L3090,01
40314BE0,L3090,01
35109000,L3090,01
1046440000,L3090,01
1047780000,L3090,01
104991DL00,L1105,01
19145000,L3090,01
25666IG0,L3090,01
28308000,L1105,01
27235000,L3090,01
34611001,L3090,01
33770000,L3090,01
19137000,L3090,01
32322DC0,L1016,01
266682430,L1105,01
29120DA0,L1143,01
35087000,L3090,01
29192A01,L3090,01
34855003,L3090,01
36325001,L3090,01
20201000,L3090,01
23763000,L3090,01
23635001,L3090,01
24047003,L3090,01
29403000,L3090,01
29417000,L3090,01
34831000,L3090,01
33636DA1,L3090,01
29120000,L3090,01
32771000,L3090,01
36410000,L3090,01
30581000,L3090,01
30506000,L3090,01
31615000,L3090,01
32488000,L3090,01
26587000,L3090,01
26458000,L3090,01
28605000,L3090,01
23127000,L3090,01
20008003,L3090,01
31723000,L3090,01
32488A00,L3090,01
34425000,L3090,01
19810000,L3090,01
25610IG0,L3090,01
33369000,L3090,01
33227000,L3090,01
33442000,L3090,01
32321A02,L1016,01
27860001,L1105,01
27297001,L1105,01
24208002,L3090,01
23719003,L3090,01
20622IG0,L3090,01
23921000,L3090,01
23790001,L3090,01
23976003,L3090,01
24259IG0,L3090,01
24259000,L3090,01
29420IG0,L3090,01
23451001,L3090,01
34840000,L3090,01
29126GL0,L3090,01
33395002,L3090,01
26897IG0,L3090,01
27945001,L3090,01
27949002,L3090,01
27925003,L3090,01
27922000,L3090,01
33982001,L3090,01
19783000,L3090,01
27970IG0,L3090,01
27884001,L3090,01
27785000,L3090,01
27420001,L3090,01
27472000,L3090,01
27264000,L3090,01
27327000,L3090,01
26074000,L3090,01
26651IG0,L3090,01
33615000,L3090,01
27966000,L3090,01
27965000,L3090,01
33390000,L3090,01
32321000,L3090,01
28693000,L3090,01
33156000,L3090,01
28022000,L3090,01
28194000,L3090,01
134864AL00,L1047,01
134863AL00,L1047,01
40333000,L3090,01
40291000,L3090,01
28974000,L3090,01
29651IG0,L3090,01
40204000,L3090,01
40199IG0,L3090,01
40287000,L3090,01
40168000,L3090,01
33106000,L3090,01
33815000,L3090,01
33879000,L3090,01
27914000,L3090,01
33932002,L3090,01
33931002,L3090,01
19902000,L3090,01
28237BE0,L3090,01
28820000,L3090,01
31012000,L3090,01
27281000,L3090,01
19812000,L3090,01
27246000,L3090,01
19864000,L3090,01
19864IG0,L3090,01
34005000,L3090,01
348802430,L1143,01
291212430,L1143,01
29303004,L3090,01
23844004,L3090,01
107059LS00,L3090,01
34023000,L3090,01
33837000,L3090,01
19026IG0,L3090,01
20000000,L3090,01
34637000,L3090,01
41013000,L3090,01
38185000,L3090,01
27530000,L1105,01
26507DA0,L1105,01
26257000,L1105,01
26062000,L1105,01
26066000,L1105,01
24199001,L3090,01
22035000,L3090,01
20668000,L3090,01
20666IG0,L3090,01
23984003,L3090,01
23958003,L3090,01
24332001,L3090,01
26189000,L3090,01
26580000,L3090,01
26094000,L3090,01
26096001,L3090,01
26462000,L3090,01
27319000,L3090,01
2726500E,L3090,01
23048002,L3090,01
25221A01,L3090,01
22026000,L3090,01
23061001,L3090,01
23233000,L3090,01
26230000,L3090,01
19355000,L3090,01
19446000,L3090,01
26322000,L3090,01
20342A00,L3090,01
268272431,L1105,01
1072990000,L3090,01
36061000,L3090,01
13449DA1,L3090,01
1018750000,L3090,01
1018740000,L3090,01
19841000,L3090,01
1016940000,L3090,01
100962DA00,L1047,01
1022082430,L1143,01
19139BE0,L3090,01
21653IG0,L3090,01
40171000,L3090,01
41140000,L3090,01
40260000,L3090,01
28423000,L3090,01
36144000,L3090,01
36218000,L3090,01
25014BE0,L3090,01
