COD_MATERIAL,COD_CHAR,VALUE_COMBINED
1047430000,L1079,"3/8"""
104989MS00,L1102,XXX
103569SH00,L1308,60
28932001,L1052,30
34611001,L1049,1250
34741000,L1049,1250
34734000,L1049,1250
33977002,L1293,13
31553001,L1018,C
23658000,L1100,29
31723000,L1231,Y
32670DC0,L1018,C
32661001,L1018,C
32322A02,L1018,U
26477DC0,L1000,26
26551LS0,L1044,130
26587LS0,L1044,130
31573SD1,L1203,RV
31138001,L1293,13
26558AL0,L1293,7.5
23413002,L1293,22
34720000,L1293,11.5
31640AT0,L1003,"3 1/2"""
29415000,L1049,2000
28819001,L1051,900
31575SD0,L1204,80
31574GN0,L1204,60
34681000,L1011,N
30382000,L1231,Y
31455001,L1231,Y
30506000,L1006,LOW
29416IG0,L1008,110 MM
31657AP0,L1308,"83,8/55,9"
31653AT0,L1000,18
32824000,L1293,13
28941001,L1052,30
34872000,L1293,13.5
31656AP0,L1204,50
266702431,L1293,7.3
32901001,L1079,"3/8"""
26564DC0,L1380,7.5
26670001,L1380,7.3
31886000,L1293,7
23790001,L1006,XS
34828000,L1011,N
3220610E,L1002,07
28094000,L1102,50
30562000,L1018,C
26814001,L1102,210
27805001,L1042,IV
27767000,L1291,IV
26859000,L1102,230X230
27860001,L1102,260
23921000,L1006,XL
20021AL3,L1006,XS
27243001,L1044,110
27786003,L1044,110
27854003,L1044,110
27242001,L1044,110
26066DL0,L1102,310
26067DA0,L1102,310
27864000,L1000,26
26057000,L1000,26
27978000,L1000,26
27588002,L1042,III
27574002,L1042,III
26784000,L1291,III
31644AP0,L1203,RV
33386000,L1011,Y2
23856GN1,L1006,XXL
24168DC1,L1293,34
30387000,L1293,9.5
32843DC2,L1293,10
25222GN1,L1293,22
27950000,L1293,5.5
25272MS0,L1293,21.5
30305000,L1293,11
24259000,L1293,30
27597001,L1293,16.5
32441002,L1293,11
19316MS1,L1049,2000
28399000,L1051,900
27264001,L1051,900
27734000,L1051,900
27745000,L1052,30
27500000,L1052,30
2764600E,L1052,30
27173002,L1049,2000
28143001,L1050,59
34791001,L1293,7.4
27786003,L1042,III
26075000,L1381,11.5
26075DC0,L1381,11.5
27134000,L1380,11.5
27948001,L1381,7.4
27854003,L1381,16.6
279482431,L1381,7.4
27635000,L1381,23.5
27646001,L1381,19
27786003,L1381,13.5
27637000,L1381,23.5
269302431,L1381,7.4
26087000,L1380,13
27911000,L1380,9
27400DA0,L1381,8.2
33540L00,L1011,Y3
23412000,L1002,07
264032432,L1102,260
107056DC00,L1102,360
107055DC00,L1102,400X230
314842431,L1293,9.5
348752430,L1293,44
