id,code,Link,language,market,title,short_text,long_text,Comments
223,Champagne Spray,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_CHAMPAGNESPRAY4C_000_01/original/1280/ZZH_FB_CHAMPAGNESPRAY4C_000_01.jpg,de,DE,Champagner Strahl,"Sanfter, luftangereicherter Strahl","Sanft und luxuriös: Mit Luft angereicherte Wassertropfen bilden den Champagne-Strahl, der weniger Wasser benötigt, aber ein großzügiges Duscherlebnis bietet.",
224,2 Plus 4 Spray Types,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_2PLUS4SPRAYTYPES4C_000_01/original/1280/ZZH_TS_2PLUS4SPRAYTYPES4C_000_01.jpg,de,DE,2 Plus 4 Strahlarten,"Kopfbrause: 2 Strahlarten, Handbrause: 4 Strahlarten","Kopfbrause: 2 Strahlarten, Handbrause: 4 Strahlarten",
225,3 Plus 1 Spray Type,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_3PLUS1SPRAYTYPE4C_000_01/original/1280/ZZH_TS_3PLUS1SPRAYTYPE4C_000_01.jpg,de,DE,3 Plus 1 Strahlarten,"Kopfbrause: 3 Strahlarten, Handbrause: 1 Strahlart","Kopfbrause: 3 Strahlarten, Handbrause: 1 Strahlart",
226,3 Plus 2 Spray Types,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_3PLUS2SPRAYTYPES4C_000_01/original/1280/ZZH_TS_3PLUS2SPRAYTYPES4C_000_01.jpg,de,DE,3 Plus 2 Strahlarten,"Kopfbrause: 3 Strahlarten, Handbrause: 2 Strahlarten","Kopfbrause: 3 Strahlarten, Handbrause: 2 Strahlarten",
227,Spray Face Cube 150 mm,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_SPRAYFACECUBE1504C_000_01/original/1280/ZZH_TS_SPRAYFACECUBE1504C_000_01.jpg,de,DE,Eckiger Brauseboden 150 mm,150 mm quadratischer Brauseboden,150 mm quadratischer Brauseboden,
228,Spray Face Cube 230 mm,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_SPRAYFACECUBE2304C_000_01/original/1280/ZZH_TS_SPRAYFACECUBE2304C_000_01.jpg,de,DE,Eckiger Brauseboden 230 mm,230 mm quadratischer Brauseboden,230 mm quadratischer Brauseboden,
229,Spray Face Round 160 mm,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_SPRAYFACEROUND1604C_000_01/original/1280/ZZH_TS_SPRAYFACEROUND1604C_000_01.jpg,de,DE,Runder Brauseboden 160 mm,160 mm runder Brauseboden,160 mm runder Brauseboden,
230,Microplastic Reduction,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_MICROPLASTICREDUCTION4C_000_01/original/1280/ZZH_FB_MICROPLASTICREDUCTION4C_000_01.jpg,de,DE,Microplastic Reduction,Extra-fine membrane filtration,"The filter membrane captures even the smallest particles like microplastic (> 1µm), resulting in purest drinking water.",
231,Wireless Connectivity,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_WIRELESSCONNECTIVITY4C_000_01/original/1280/ZZH_FB_WIRELESSCONNECTIVITY4C_000_01.jpg,de,DE,Wireless Connectivity,Remote control via smartphone,Download the GROHE App to set up and control this GROHE product with your smartphone via Bluetooth or WIFI.,
232,Mineralisation,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_MINERALISATION4C_000_01/original/1280/ZZH_FB_MINERALISATION4C_000_01.jpg,de,DE,Mineralisation,Supply of minerals for better taste and well-being,This GROHE Blue Filter enhances the aroma and taste of your water and enriches it with selected minerals for your well-being and vitality.,
