sku,included_1,included_2,included_3,included_4,included_5,included_6,included_7,included_8,included_9,included_10,not_included_1,not_included_2,not_included_3,not_included_4,not_included_5,not_included_6,not_included_7,not_included_8,not_included_9,not_included_10,language,market
34065GL2,,,,,,,,,,,,,,,,,,,,,de,DE
40364GL1,,,,,,,,,,,,,,,,,,,,,de,DE
40365GL1,,,,,,,,,,,,,,,,,,,,,de,DE
40374GN1,screws and dowels,,,,,,,,,,Kleber ,,,,,,,,,,de,DE
40385GL1,,,,,,,,,,,,,,,,,,,,,de,DE
40689A01,,,,,,,,,,,,,,,,,,,,,de,DE
40392DC0,,,,,,,,,,,,,,,,,,,,,de,DE
37535EN0,,,,,,,,,,,,,,,,,,,,,de,DE
27579002,,,,,,,,,,,,,,,,,,,,,de,DE
49061000,,,,,,,,,,,,,,,,,,,,,de,DE
31576SD0,,,,,,,,,,,,,,,,,,,,,de,DE
24138AL3,,,,,,,,,,,,,,,,,,,,,de,DE
26561000,,,,,,,,,,,,,,,,,,,,,de,DE
48424EN0,,,,,,,,,,,,,,,,,,,,,de,DE
26591000,,,,,,,,,,,,,,,,,,,,,de,DE
30294GN0,,,,,,,,,,,,,,,,,,,,,de,DE
32322DL2,,,,,,,,,,,,,,,,,,,,,de,DE
32917DA0,,,,,,,,,,,,,,,,,,,,,de,DE
19923DA3,,,,,,,,,,,,,,,,,,,,,de,DE
21019GL3,,,,,,,,,,,,,,,,,,,,,de,DE
24027GL3,,,,,,,,,,,,,,,,,,,,,de,DE
29119BE0,,,,,,,,,,,,,,,,,,,,,de,DE
29120BE0,,,,,,,,,,,,,,,,,,,,,de,DE
40499A00,,,,,,,,,,,,,,,,,,,,,de,DE
20301003,,,,,,,,,,,,,,,,,,,,,de,DE
47898EN0,,,,,,,,,,,,,,,,,,,,,de,DE
26475BE0,,,,,,,,,,,,,,,,,,,,,de,DE
26477AL0,,,,,,,,,,,,,,,,,,,,,de,DE
26564AL0,,,,,,,,,,,,,,,,,,,,,de,DE
27888AL0,,,,,,,,,,,,,,,,,,,,,de,DE
49534SH0,,,,,,,,,,,,,,,,,,,,,de,DE
24065GL3,,,,,,,,,,,,,,,,,,,,,de,DE
24138GL3,,,,,,,,,,,,,,,,,,,,,de,DE
49105DC0,,,,,,,,,,,,,,,,,,,,,de,DE
41038GL0,,,,,,,,,,,,,,,,,,,,,de,DE
41039DA0,,,,,,,,,,,,,,,,,,,,,de,DE
41056BE0,,,,,,,,,,,,,,,,,,,,,de,DE
41063DA0,,,,,,,,,,,,,,,,,,,,,de,DE
41066BE0,,,,,,,,,,,,,,,,,,,,,de,DE
41077DA0,,,,,,,,,,,,,,,,,,,,,de,DE
48177EN0,,,,,,,,,,,,,,,,,,,,,de,DE
39733000,,,,,,,,,,,,,,,,,,,,,de,DE
31577SD1,,,,,,,,,,,,,,,,,,,,,de,DE
46987AL0,,,,,,,,,,,,,,,,,,,,,de,DE
48159AL0,,,,,,,,,,,,,,,,,,,,,de,DE
47189AL0,,,,,,,,,,,,,,,,,,,,,de,DE
48548000,,,,,,,,,,,,,,,,,,,,,de,DE
13449AL1,,,,,,,,,,,,,,,,,,,,,de,DE
48577000,,,,,,,,,,,,,,,,,,,,,de,DE
14146000,,,,,,,,,,,,,,,,,,,,,de,DE
20589000,,,,,,,,,,,,,,,,,,,,,de,DE
25226DC0,,,,,,,,,,,,,,,,,,,,,de,DE
25227AL0,,,,,,,,,,,,,,,,,,,,,de,DE
13373DA0,,,,,,,,,,,,,,,,,,,,,de,DE
41098DC0,,,,,,,,,,,,,,,,,,,,,de,DE
40887GL0,,,,,,,,,,,,,,,,,,,,,de,DE
40928000,,,,,,,,,,,,,,,,,,,,,de,DE
24373IG0,,,,,,,,,,,,,,,,,,,,,de,DE
29416IG0,,,,,,,,,,,,,,,,,,,,,de,DE
24365DC0,,,,,,,,,,,,,,,,,,,,,de,DE
24367000,,,,,,,,,,,,,,,,,,,,,de,DE
25268000,,,,,,,,,,,,,,,,,,,,,de,DE
20670000,,,,,,,,,,,,,,,,,,,,,de,DE
423712430,,,,,,,,,,,,,,,,,,,,,de,DE
24397000,,,,,,,,,,,,,,,,,,,,,de,DE
24419DC0,,,,,,,,,,,,,,,,,,,,,de,DE
29521AL0,,,,,,,,,,,,,,,,,,,,,de,DE
26802KF0,,,,,,,,,,,,,,,,,,,,,de,DE
26873KF0,,,,,,,,,,,,,,,,,,,,,de,DE
40340KF1,,,,,,,,,,,,,,,,,,,,,de,DE
40887KF0,,,,,,,,,,,,,,,,,,,,,de,DE
108446DC00,,,,,,,,,,,,,,,,,,,,,de,DE
108447GN00,,,,,,,,,,,,,,,,,,,,,de,DE
108448GL00,,,,,,,,,,,,,,,,,,,,,de,DE
234442431,,,,,,,,,,,,,,,,,,,,,de,DE
265972430,,,,,,,,,,,,,,,,,,,,,de,DE
270762430,,,,,,,,,,,,,,,,,,,,,de,DE
289122430,,,,,,,,,,,,,,,,,,,,,de,DE
33553AL4,,,,,,,,,,,,,,,,,,,,,de,DE
23791DL1,,,,,,,,,,,,,,,,,,,,,de,DE
33848GN1,,,,,,,,,,,,,,,,,,,,,de,DE
113018A000,,,,,,,,,,,,,,,,,,,,,de,DE
46917GF0,,,,,,,,,,,,,,,,,,,,,de,DE
34830AL0,,,,,,,,,,,,,,,,,,,,,de,DE
20003000,,,,,,,,,,,,,,,,,,,,,de,DE
20014IG0,,,,,,,,,,,,,,,,,,,,,de,DE
20015000,,,,,,,,,,,,,,,,,,,,,de,DE
20021BE0,,,,,,,,,,,,,,,,,,,,,de,DE
20057000,,,,,,,,,,,,,,,,,,,,,de,DE
20117000,,,,,,,,,,,,,,,,,,,,,de,DE
20149000,,,,,,,,,,,,,,,,,,,,,de,DE
20205000,,,,,,,,,,,,,,,,,,,,,de,DE
20351000,,,,,,,,,,,,,,,,,,,,,de,DE
20401000,,,,,,,,,,,,,,,,,,,,,de,DE
0299000M,,,,,,,,,,,,,,,,,,,,,de,DE
20620G00,,,,,,,,,,,,,,,,,,,,,de,DE
06111000,,,,,,,,,,,,,,,,,,,,,de,DE
06427000,,,,,,,,,,,,,,,,,,,,,de,DE
06706000,,,,,,,,,,,,,,,,,,,,,de,DE
07182L00,,,,,,,,,,,,,,,,,,,,,de,DE
07202000,,,,,,,,,,,,,,,,,,,,,de,DE
08016000,,,,,,,,,,,,,,,,,,,,,de,DE
08295000,,,,,,,,,,,,,,,,,,,,,de,DE
12003000,,,,,,,,,,,,,,,,,,,,,de,DE
12051000,,,,,,,,,,,,,,,,,,,,,de,DE
12091L00,,,,,,,,,,,,,,,,,,,,,de,DE
12424000,,,,,,,,,,,,,,,,,,,,,de,DE
12925000,,,,,,,,,,,,,,,,,,,,,de,DE
13073000,,,,,,,,,,,,,,,,,,,,,de,DE
13263000,,,,,,,,,,,,,,,,,,,,,de,DE
13621000,,,,,,,,,,,,,,,,,,,,,de,DE
14066000,,,,,,,,,,,,,,,,,,,,,de,DE
18383002,,,,,,,,,,,,,,,,,,,,,de,DE
19030AR0,,,,,,,,,,,,,,,,,,,,,de,DE
19039IS0,,,,,,,,,,,,,,,,,,,,,de,DE
19089BE0,,,,,,,,,,,,,,,,,,,,,de,DE
19153AV0,,,,,,,,,,,,,,,,,,,,,de,DE
19160IG0,,,,,,,,,,,,,,,,,,,,,de,DE
19162CA0,,,,,,,,,,,,,,,,,,,,,de,DE
19342KS0,,,,,,,,,,,,,,,,,,,,,de,DE
19388000,,,,,,,,,,,,,,,,,,,,,de,DE
19455LS0,,,,,,,,,,,,,,,,,,,,,de,DE
19522LG0,,,,,,,,,,,,,,,,,,,,,de,DE
19523000,,,,,,,,,,,,,,,,,,,,,de,DE
19530Z00,,,,,,,,,,,,,,,,,,,,,de,DE
19536002,,,,,,,,,,,,,,,,,,,,,de,DE
19605000,,,,,,,,,,,,,,,,,,,,,de,DE
19663IG0,,,,,,,,,,,,,,,,,,,,,de,DE
